village_ID,village_name
13015109,ชุมชนเทพพัฒนา
13015110,ชุมชนบางโพธิ์ใน
13015111,ชุมชนเพชรปทุม
13015112,ชุมชนร่วมจิตต์มุสลิม
13015113,ชุมชนสมประสงค์
13015114,ชุมชนเทศสัมพันธ์
13015115,ชุมชนเจริญผลวัฒนา
13015116,ชุมชนปัญชลี
13015117,ชุมชนพัฒนาสัมพันธ์
13015118,ชุมชนปทุมวิลเลจ
13015119,ชุมชนปทุมทอง
13015120,ชุมชนแสงชัยพัฒนา
13015121,ชุมชนวัดโคก
13015122,ชุมชนกฤษณา
13015123,ชุมชนสุขใจพัฒนา
13015124,ชุมชนซื่อตรง
13015125,ชุมชนพนาสนธิ์
13015126,เอื้ออาทร๑
13015127,เอื้ออาทร๒
13015201,ปลายบัว
13015202,คลองโพธิ์
13015203,คุ้งวัด
13015204,คลองบางคูวัด
13015205,เกาะเกรียง
13015206,บางตะไนย์
13015207,ศาลเจ้า
13015208,ไผ่ล้อม
13015209,ตีนเลน
13015210,บางนางบุญ
13015211,ฝั่งกลาง
13015212,พะโอย
13015301,เกริ่น
13015302,โคกขะพลู
13015303,กางซอง
13015304,บางลำภู
13015305,บางงิ้ว
13015306,ชุมชนสี่ไชยทอง
13015307,ชุมชนซอยอำภา
13015308,ชุมชนวัดสังลาน
13015309,ชุมชนคลองตานก
13015310,ชุมชนคลองมะดัน
13015311,ชุมชนคลองลำพู
13015312,ชุมชนซอยเฟื่องฟ้า
13015313,ชุมชนคลองต้นไทร
13015314,ชุมชนติวานนท์พัฒนา
13015315,ชุมชนประตูน้ำเชียงราก
13015316,ชุมชนบางงิ้ว
13015317,ชุมชนคลองประปา
13015401,บ้านคลองบางหลวง
13015402,บ้านคลองบางโพธิ์ใต้
13015403,หมู่บ้านทรัพย์กานดา
13015404,บ้านฉาง
13015405,หน้าวัดบางหลวง
13015406,บ้านบางเดื่อ
13015501,คลองคูกลาง
13015502,คลองกวางตุ้ง
13015503,คลองเปรมประชากร
13015504,คลองรังสิตประยูรศักดิ์
13015505,คลองรังสิต
13015506,คลองสิบศอก
13015507,คลองเปรม
13015601,ตลาดบางพูน
13015602,คลองเปรมประชากร
13015603,บางแขยง
15010301,วัดจันทร์
15010302,ศาลาแดง
15010303,ท้ายย่าน
15010304,สวนมะม่วง
15010305,ลาว
15010306,ไผ่ล้อม
15010307,วัดจันทร์
15010401,ป่างิ้ว
15010402,ป่างิ้ว
15010403,ป่างิ้ว
15010404,ตาลแถว
15010405,โรงนา
15010406,แปดแก้ว
15010407,ตาลแถว
15010501,บางตาแผ่น
15010502,บางตาแผ่น
15010503,คลองโพสะ
15010504,ปากคลองโพสะ
15010505,แห
15010506,แห
15010601,บางแก้ว
15010602,ต้นโพธิ์
15010603,ต้นโพธิ์
15010604,ตลาดกรวด
15010605,ตลาดกรวด
15010606,ตลาดกรวด
15010701,หนองไข่เน่า
15010702,บางหัก
15010703,ท่ามอญ
15010704,หัวตะพาน
15010705,คุ้มหมักเม้า
15010706,โรงนา
15010801,โตงเตง
15010802,โตงเตง
15010803,น้ำผึ้ง
15010804,น้ำผึ้ง
15010805,น้ำผึ้ง
15010806,อิฐ
15010807,อิฐ
15010808,อิฐ
15010809,อิฐ
15010810,อิฐ
15010811,โตงเตง
15010901,หัวไผ่
15010902,หัวไผ่
15010903,ยาง
15010904,เชิงหวาย
15010905,คราม
15010906,คราม
15010907,คราม
15010908,นา
15010909,นา
15011001,ระดำ
15011002,ระดำ
15011003,โพธิ์ทูล
15011004,จำปาหล่อ
15011005,จำปาหล่อ
15011006,จำปาหล่อ
15011007,บางตาทอง
15011101,ระดำ
15011102,ระดำ
15011103,หัวสะแก
15011104,ไผ่ล้อม
15011105,วัดนก
15011106,โพสะ
15011107,ท้องคุ้ง
15011108,บางแก้ว
15011201,ท้ายตาล
15011202,รี
15011203,รี
15011204,ไผ่ล้อม
15011301,บางตาแผ่น
15011302,บางต้นทอง
15011303,ท่ามอญ
15011304,สวนมะม่วง
15011305,คลองวัว
15011401,ย่านซื่อ
15011402,บางยี่นา
15011403,ย่านซื่อ
15011404,ท้องคุ้ง
15011405,ย่านซื่อ
15015101,ชุมชนเฉลิมพระเกียรติ
15015102,ชุมชนกาญจนา
15015103,ชุมชนชัยนำพัฒนา
15015104,ชุมชนบ้านรอ
15015105,ชุมชนทรัพย์สิน
15015106,ชุมชนวัดชัยมงคล
15015107,ชุมชนวัดต้นสน
15015108,ชุมชนบางแก้ว
15015109,ชุมชนตลาดหลวง
15015110,ชุมชนไลออนส์พัฒนา
15015111,ชุมชนอ่างทองธานี
15015112,ชุมชนเมืองใหม่ชัยมงคล
15015113,ชุมชนชัยมงคล2
15015114,ชุมชนศาลเจ้าพ่อกวนอู
15015115,ชุมชนชัยอารีย์
15015116,ชุมชนตลาดหลวง2
15015117,ชุมชนโรงเจ
15015118,ชุมชนสุทธาวาส
15015119,ชุมชนวัดโล่ห์สุทธาวาส
15015120,ชุมชนวัดอ่างทอง
15015121,ชุมชนบางแก้ว2
15015122,ชุมชนกาญจนา2
15020301,บางแมว
15020302,ดอนงิ้ว
15020303,ทองหลาง
15020304,บางท้ายวัด
15020305,โกรกกราก
15020306,หางบางศาลา
15020401,ลาว
15020402,ปากบาง
15020403,โตนด
15020404,โตนด
15020405,บ่อน้ำ
15020406,เทวราช
15020407,ท่าแดง
15020501,ราชสถิตย์
15020502,ราชสถิตย์
15020503,โรงม้า
15020504,โรงม้า
15020505,โรงม้า
15020506,หนองขุม
15020507,หนองหาด
15025201,ชุมชนสวนมะม่วงสามัคคี
15025202,ชุมชนบ้านบึงสวรรค์
15025203,ชุมชนบ้านกลาง
15025204,ชุมชนบ้านมหานาม
15025205,ชุมชนบ้านคุ้งคาง
15025206,ชุมชนคลองโพธิ์
15025207,ชุมชนบ้านสระเกษ
15025208,ชุมชนบ้านบางขัน
15025209,ชุมชนบ้านต้นงิ้ว
15025210,ชุมชนบ้านหลักฟ้า
15025211,ชุมชนวัดกำแพง
15025212,ชุมชนบ้านชะไวเหนือ
15025213,ชุมชนบ้านชะไวกลาง
15025214,ชุมชนบ้านชะไวใต้
15025215,ชุมชนตลาดบ้านมะขาม
15025216,ชุมชนสวนมะม่วง
15025217,ชุมชนริมเขื่อน
15025218,ชุมชนวัดไทรย์
15025219,ชุมชนเหนือวัดไทรย์
15025220,ชุมชนบางน้ำวน
15025221,ชุมชนบ้านบางศาลา
15025222,ชุมชนบ้านตรีณรงค์สามัคคี
15025223,ชุมชนบ้านป่า
15025224,ชุมชนบ้านป่าพัฒนา
15025225,ชุมชนบางแมว
15025226,ชุมชนบางท้ายวัด
15025301,ชุมชนสามัคคี
15025302,ชุมชนไชโยพัฒนา
15025303,ชุมชนเกษไชโย
15025304,ชุมชนสามปัญญา
15025305,ชุมชนวัดนก
15025306,ชุมชนม้าพัฒนา
15025307,ชุมชนหนองไชโย
15025308,ชุมชนรวมใจไชโย
15030301,พายทอง
15030302,คลองพุทรา
15030303,ท่าควาย
15030304,บางหูเชือก
15030305,คลองคะเชนทร์
15030306,คลองยายนวล
15030307,หัวไผ่
15030308,พายทอง
15030401,คลองฝรั่ง
15030402,คลองฝรั่ง
15030403,สำเภาลอย
15030404,วิหารแดง
15030405,แขก
15030406,คลองสวน
15030407,เกาะ
15030408,โคกขาม
15030501,วัดตาลใต้
15030502,วัดตาลเหนือ
15030503,ปะขาว
15030504,ปากบาง
15030505,ปากคลอง
15030506,สระแก้ว
15030601,บางแพเหนือ
15030602,ตะพุ่น
15030603,ตะพุ่น
15030604,ตะพุ่น
15030605,บางแพเหนือ
15030606,ลาดเค้าใต้
15030607,ลาดเค้าเหนือ
15030701,บางแพ
15030702,บางแพ
15030703,บางพงษ์
15030704,บางพงษ์
15030705,มะขามเรียง
15030706,ปากน้ำ
15030707,บางแพ
15030708,บางแพ
15030801,เลน
15030802,เลน
15030803,สวนยายส้ม
15030804,สวนยายส้ม
15030805,หมู่ตาล
15030806,น้ำวน
15030807,โผงเผง
15030808,โผงเผง
15030809,โรงม้า
15030810,โรงม้า
15035401,ชุมชนวัดอัมพวัน
15035402,ชุมชนน้ำวน
15035403,ชุมชนตลาดป่าโมก
15035404,ชุมชนหัวท่อ
15035405,ชุมชนเอกหลาดฝั่งตะวันออก
15035406,ชุมชนเอกหลาดฝั่งตะวันตก
15035407,ชุมชนหัวกระบือ
15035408,ชุมชนวัดแสนสุข
15035409,ชุมชนวัดแจ้ง
15035410,ชุมชนวัดใหม่ฯ-วัดพินิจฯ
15040101,คลองกระทุ่ม
15040102,คลองมะขาม
15040103,คลองมะขาม
15040104,คลองสาหร่าย
15040105,อ่างแก้ว
15040106,อ่างแก้ว
15040107,ห้วยลิงตก
15040201,น้ำอาบ
15040202,แขก
15040203,บางพลับ
15040205,วัดป่า
15040206,ห้วยลิงออก
15040207,ห้วยลิงออก
15040301,บางพลับ
15040303,บางพลับ
15040304,บางพลับ
15040305,แขก
15040306,แขก
15040401,หนองแม่ไก่
15040402,ไร่แตงโม
15040403,กลาง
15040404,แก
15040405,เตาเหล็ก
15040406,หัวทองดี
15040407,ริ้วหว้า
15040504,ยางตะทอง
15040506,ท่าลอบ
15040507,แจงแขวนหม้อ
15040508,แจงแขวนหม้อ
15040509,ม่วงคัน
15040510,ทุ่งซิ่ง
15040511,ทุ่งตาเงิน
15040512,ทุ่งซิ่ง
15040601,คลองข่อย
15040602,สร้าง
15040603,สามเรือน
15040604,วังถ้ำ
15040605,บางระกำ
15040606,บางระกำ
15040607,ลาดสำเภา
15040701,บางกะแว่น
15040702,โพธิ์รังนก
15040703,หนอง
15040801,องครักษ์
15040802,ดงกระท้อน
15040803,คลองวัดไทร
15040804,ท้องคุ้ง
15040805,องครักษ์
15040806,หงษ์
15040807,ประตูดิน
15040808,เขาแก้ว
15040901,โคกพุทรา
15040902,โคกพุทรา
15040903,โคกพุทรา
15040904,กุ่ม
15040905,ช้าง
15040906,ช้าง
15040907,ช้าง
15041001,ยางซ้าย
15041002,ยางซ้าย
15041003,ห้วยราชคราม
15041004,คลองขุด
15041005,คลองขุด
15041006,โรงนา
15041007,งิ้วราย
15041008,ดอนงิ้วราย
15041009,งิ้วราย
15041010,หนองมรสุม
15041011,ตุ่มดิน
15041101,บ่อแร่
15041102,บ่อแร่
15041103,คลองกระทุ่ม
15041104,คลองกระทุ่ม
15041201,ทางพระ
15041202,ทางพระ
15041203,ทางพระ
15041204,ไร่
15041205,ตาล
15041206,ตาล
15041207,วัดจันทร์
15041208,กาไสย์
15041301,สามง่าม
15041302,บางหัก
15041303,คลองกระทุ่ม
15041304,โพธิ์เกรียบ
15041305,โพธิ์เกรียบ
15041306,โพธิ์เกรียบ
15041401,ห้วยลิงตก
15041402,ห้วยลิงตก
15041403,โพธิ์ราษฎร์
15041404,โพธิ์ราษฎร์
15041405,สร้าง
15041406,สร้าง
15041407,สามเรือน
15041408,ยางทอง
15041501,คำหยาด
15041502,หัวงิ้ว
15041503,หัวงิ้ว
15041504,หนองกรด
15041505,หนองสามไกร
15041506,โพธิ์ทอง
15041507,โพธิ์ทอง
15041508,โพธิ์ทอง
15041509,โพธิ์ทอง
15045501,ชุมชนรำมะสัก
15045502,ชุมชนลั่นทม
15045503,ชุมชนบ้านบึง
15045504,ชุมชนยางตะทอง
15045505,ชุมชนโพธิ์เอน
15045506,ชุมชนท่าลอบ
15045601,ชุมชนคลองมะขาม
15045602,ชุมชนคลองสาหร่าย
15045603,ชุมชนศาลเจ้าพ่อโพธิ์ทอง
15045604,ชุมชนตลาดเหนือ
15045605,ชุมชนห้วยลิงตก
15045606,ชุมชนบางพลับ
15045607,ชุมชนบางพลับ
15045608,ชุมชนบางพลับ
15045609,ชุมชนอินทประมูล
15045610,ชุมชนวัดป่ามุนี
15045611,ชุมชนวัดใหม่บุญศิริ
15045612,ชุมชนบ้านอินทประมูลหมู่4
15045613,ชุมชนบ้านวัดใหม่บุญศิริหมู่7
15050104,แสวงหา
15050106,แสวงหา
15050107,เพชร
15050108,คูเมือง
15050109,ทุ่งแห้ว
15050110,หนองแขม
15050111,ทองเลื่อน
15050112,หนองถ้ำ
15050113,ดอนทอง
15050114,แสวงหา
15050201,พราน
15050202,พราน
15050203,วัดป่า
15050204,โคบึง
15050205,โคบึง
15050206,เตาเหล็ก
15050301,สระสี่เหลี่ยม
15050302,ริ้วหว้า
15050303,ยางแขวน
15050304,มาบทราย
15050305,โพธิ์สำราญ
15050306,หนองสองตอน
15050307,วังน้ำเย็น
15050308,หนองแหน
15050309,ดอนกร่าง
15050310,ยางแขวน
15050401,วังน้ำเย็น
15050402,ท่าจันทร์
15050403,วังนาค
15050404,หมื่นเกลา
15050405,ทุ่งน้อย
15050406,หนองยาง
15050407,รางฉนวน
15050408,ดอนบ่อ
15050409,ริ้วใหญ่
15050501,ดอนแจง
15050502,สีบัวทอง
15050503,ยางกลาง
15050504,คลองชะอม
15050505,หนองปรือ
15050506,แก้วกระจ่าง
15050507,ยางอู่
15050508,ยางท่าเฝือก
15050509,หนองเสือ
15050510,คลองขุด
15050511,ไร่อ้อยเขต2
15050601,แสวงสุข
15050602,ห้วยไผ่ใต้
15050603,ห้วยไผ่
15050604,สำโรงปม
15050605,วัดยาง
15050701,หนองจิก
15050702,จำลอง
15050703,หัวสะแกออก
15050704,หัวสะแกตก
15050705,หัวงิ้ว
15050706,หัวโพธิ์
15055701,ชุมชนบ้านแสวงหา1
15055702,ชุมชนบ้านแสวงหา2
15055703,ชุมชนในแสวงหา3
15055704,ชุมชนบ้านแสวงหา4
15055705,ชุมชนบ้านแสวงหา5
15055706,ชุมชนบ้านแสวงหา6
15055714,ชุมชนบ้านแสวงหา14
15060101,ท่าช้าง
15060102,มะขาม
15060103,วิเศษชัยชาญ
15060104,คลองขุน
15060105,คลองขุน
15060106,จวน
15060107,ไผ่จำศีล
15060108,ดอนปลาสร้อย
15060201,คอกวัวใหญ่
15060202,คลองน้ำเชี่ยว
15060203,หัวรอ
15060204,คลองวัดหลวง
15060207,หน้าวัดใน
15060208,กองช้าง
15060209,ศาลเจ้าโรงทอง
15060210,ขวาง
15060211,หน้าวัดกำแพง
15060212,โพธิ์เขียว
15060301,ไผ่ดำพัฒนา
15060302,ลาดจินจาน
15060303,ไผ่ดำพัฒนา
15060304,ไผ่ดำพัฒนา
15060305,ไผ่ดำพัฒนา
15060306,ไผ่ดำพัฒนา
15060307,ไผ่ดำพัฒนา
15060308,ไผ่ดำพัฒนา
15060401,ทางเรือ
15060402,หนองผักเฉต
15060403,ห้วยคล้า
15060404,ลาดตาล
15060405,ดอนตาก้อน
15060406,อ้อสะอื้น
15060407,ไผ่เกาะ
15060408,ตาลเจ็ดยอด
15060501,คลองนมโค
15060502,สี่ร้อย
15060503,ทำนบ
15060504,ท่าช้าง
15060505,ท่าช้าง
15060506,ลาดเป็ด
15060601,ยี่ล้น
15060602,ยี่ล้น
15060603,ศาลเจ้าพระราม
15060604,ดอนแตง
15060605,อบทม
15060606,อบทม
15060607,อบทม
15060608,อบทม
15060609,ไผ่หมูขวิด
15060701,สามเรือน
15060702,สามเรือน
15060705,บางกะลา
15060710,คลองขนาก
15060712,น้ำพุ
15060713,คลองพูล
15060714,ท้องคุ้ง
15060801,ช่องน้ำไหล
15060802,ห้วยคันแหลน
15060803,ห้วยคันแหลน
15060804,ห้วยชะนาง
15060805,ห้วยอีเขียว
15060806,ห้วยโรง
15060901,เจ็ก
15060902,บางกะลา
15060903,ดาบ
15060904,บางกะลา
15060906,พงษ์ศรี
15060907,คลองนมโค
15060909,ดอนหอยโข่ง
15061001,ดอนสะแก
15061002,ไผ่วง
15061003,หนองหล่ม
15061004,ต้นทอง
15061005,ดอนกลาง
15061006,ดอนกระทุ่ม
15061007,อ้อล้อม
15061104,สี่ร้อย
15061105,ทำนบ
15061107,ทำนบ
15061201,ศาลาดิน
15061202,ศาลาดิน
15061203,ศาลาดิน
15061204,ม่วงขวัญ
15061205,โคกมะรุม
15061206,โคกมะรุม
15061207,ศาลเจ้าตะละ
15061208,ม่วงเตี้ย
15061209,ม่วงเตี้ย
15061210,คลองตะวัน
15061211,หัวคลอง
15061212,หัวคลอง
15061301,แปดแก้ว
15061302,หัวตะพาน
15061303,บางหัก
15061304,หัวตะพาน
15061305,หัวกงเกวียน
15061306,หัวกงเกวียน
15061307,ท้ายลาด
15061401,คลองพูล
15061402,ห้วยรี
15061403,ลาดหญ้าไทร
15061404,คลองสำโรง
15061405,หนองสองห้อง
15061406,หลักแก้ว
15061407,หลักแก้ว
15061408,วัดกรด
15061501,ตลาดใหม่
15061502,ตลาดใหม่
15061503,หลักขร
15061504,หลักขร
15061505,ตลาดใหม่
15065801,ชุมชนคอกวัวใหญ่
15065802,ชุมชนคลองน้ำเชี่ยว
15065803,ชุมชนหัวรอ
15065804,ชุมชนคลองวัดหลวง
15065805,ชุมชนตลาดศาลเจ้าโรงทองม.5
15065806,ชุมชนตลาดศาลเจ้าโรงทองม.6
15065807,ชุมชนหน้าวัดใน
15065808,ชุมชนกองช้าง
15065809,ชุมชนมะขาม
15065810,ชุมชนวิเศษชัยชาญ
15065811,ชุมชนคลองขุน
15065812,ชุมชนคลองขุน
15065901,ชุมชนบ้านสามเรือนพัฒนา1
15065902,ชุมชนพัฒนาบูรพาสามเรือน
15065903,ชุมชนบางจัก3
15065904,ชุมชนบ้านหัวตาล
15065905,ชุมชนบ้านบางจัก6
15065906,ชุมชนบ้านบางจัก7
15065907,ชุมชนบ้านบางจัก8
15065908,ชุมชนสามเรือนบูรพา
15065909,ชุมชนบ้านเหรียญทอง
15065910,ชุมชนบ้านไทรทอง
15065911,ชุมชนบ้านน้ำพุ
15065912,ชุมชนคลองขนาก
15065913,ชุมชนคลองนมโค
15065914,ชุมชนสี่ร้อยเฉลิมพระเกียรติ
15065915,ชุมชนสี่ร้อยพัฒนา
15065916,ชุมชนท่าอู่
15065917,ชุมชนบ้านดาบ1
15065918,ชุมชนบ้านดาบ2
15070301,หัวท้ายสุด
15070302,สามขาว
15070303,คลองแพ
15070304,สามโก้
15070305,ห้วยกำแพง
15070306,ห้วยแฟบ
15070401,ดงตาล
15070402,เชียง
15070403,โพธิ์ม่วงพันธ์
15070404,ท่าชุมนุม
15070405,ห้วยอีเขียว
15070406,ในไร่
15070407,ดอนกลุ่ม
15076001,ชุมชนหัวกระบัง
15076002,ชุมชนหน้าวัดโบสถ์
15076003,ชุมชนสวนมะม่วง
15076004,ชุมชนบ้านเก่า
15076005,ชุมชนคอตัน
15076006,ชุมชนลำสนุ่น
15076007,ชุมชนโพธิ์ค้อม
15076008,ชุมชนดอนกระเบื้อง
15076009,ชุมชนทุ่งตะเพียน
15076010,ชุมชนห้วยกร้อ
15076011,ชุมชนไผ่แหลม
15076012,ชุมชนกะเร้นเล็ก
15076013,ชุมชนหนองผักตบ
15076014,ชุมชนหนองกร่าง
15076015,ชุมชนกะเร้นใหญ่
15076016,ชุมชนไผ่นกนอน
15076017,ชุมชนหนองถ้ำ
15076018,ชุมชนหัวทุ่ง
15076019,ชุมชนทองคลึม
15076020,ชุมชนหนองผักเขียว
15076021,ชุมชนหนองไก่ร้าน
15076022,ชุมชนบ่อกลางเมือง
15076023,ชุมชนดอนรัก
15076024,ชุมชนหนองผักเขียว
18035420,จันทร์เจริญถ.วนาวัฬวิถี1
18035421,มะขามเฒ่า
18035422,ท่าศาลาถ.ศรีชัย
18035423,ท่าศาลาถ.ประชาราษฎร์บำรุง
18035424,ท่าศาลาถ.ภูวสุวรรณวิถี
18035425,ท่าศาลาถ.สถิตย์สิงห์
18035426,ท่าศาลาถ.อู่ทองมะขามเฒ่า
18035427,ท่าศาลาถ.สิงห์2
18035428,ท่าศาลาถ.สิงห์1
18040101,วัดกำแพง
18040102,กลาง
18040103,หมู่ใหญ่
18040105,หัวแหลม
18040106,ใต้วัดราษฎร์
18040107,อ้อย
18040201,ตลุก
18040202,ตลุก
18040203,บางไก่เถื่อน
18040204,ศาลาขาว
18040205,โคกเข็ม
18040206,บางกระเบียน
18040207,คุ้งตาล
18040208,หนอง
18040209,ท้ายน้ำ
18040210,อ่าวสวาย
18040211,ท้องคุ้ง
18040212,ใหม่บางกระเบียน
18040301,นมโฑ
18040302,หนองกุ้ง
18040303,เขาแก้ว
18040304,นมโฑ
18040305,โป่งแค
18040306,นมโฑ
18040401,เกาะ
18040402,โพนางดำ
18040403,คงคาราม
18040404,บางเสวย
18040405,โคกจันทน์
18040406,คลองยาง
18040501,ท่าไทร
18040502,โพนางดำออก
18040503,สวนมะม่วง
18040504,ท้องคุ้ง
18040505,งิ้ว
18040506,บางตาช้าง
18040507,บางยายรา
18040508,บ่อพัฒนา
18040601,ท่าทราย
18040602,ท่าน
18040603,สวนลำใย
18040604,บางกระเบื้อง
18040605,กรุณา
18040606,ดอนตะไล้
18040607,ดอนมะเกลือ
18040701,หาดอาษา
18040702,ตึก
18040703,บางตาเณร
18040704,บางตาสุข
18040705,ท่าทราย
18040706,ศรีมงคล
18040707,เขาดิน
18040708,ลำห้วย
18040709,ศาลาแดง
18045501,โพธิ์เตี้ย1
18045502,โพธิ์เตี้ย2
18045503,บางท้องคุ้งพัฒนา
18045504,สรรพยาร่วมใจ
18045505,บางตาแพพัฒนา
18045506,หมู่ใหญ่พัฒนา
18045507,ศาลเจ้าพ่อเสือพัฒนา
18045508,ดอกคูณพัฒนา
18045510,สรรพยา
18045601,โพธิ์เจริญ
18045602,ต้นโพธิ์
18045603,ท่านขุนเณร
18045604,โพธิ์ศาล
18050101,เที่ยงแท้
18050102,ท่าระบาตร02
18050103,ท่าระบาตร03
18050104,ท่าระบาตร04
18050105,ช่อง
18050106,วังทอง
18050107,ดอนอรัญญิก
18050108,แพรกศรีราชา
18050109,แขก
18050110,วัดพระแก้ว
18050111,วังยาว11
18050112,วังยาว12
18050113,ปักเป้า
18050114,หัวตะพาน
18050115,วัดกำแพง
18050116,สระไม้แดง
18050201,เที่ยงแท้
18050202,ท่าระบาด02
18050203,ท่าระบาด03
18050204,ท่าระบาด04
18050205,ไทย05
18050206,ไทย06
18050207,โคกหม้อ
18050208,ท่าหว้า
18050209,วังยาว
18050210,หนองบัว
18050301,ท่าข้าม
18050302,ท่าวัว
18050303,ท่าช้าง
18050304,คลองรี
18050305,ท่าสะเดา
18050306,บางไก่เถื่อน
18050307,คลองมะขวาด
18050308,ท่ากร่าง
18050309,บางยายอ้น
18050401,ม่วงงาม01
18050402,ม่วงงาม02
18050403,ม่วงงาม03
18050404,พระขาว
18050405,ใหญ่
18050406,โพงาม06
18050407,โพงาม07
18050408,ดอนกำ
18050409,ใหม่09
18050410,ใหม่10
18050411,หอมกระจุย
18050412,วัดท่า
18050413,ม่วงงามพัฒนา
18050501,ท่าสำโรง
18050502,ท่าสะตือ
18050503,ท่าขยาย
18050504,ท่าศาลเจ้า
18050505,บางโพธิ์ศรี05
18050506,บางโพธิ์ศรี06
18050507,บางกระบวย
18050508,ใหญ่
18050509,แค
18050510,หัวเด่น
18050511,ร่องใหญ่
18050512,หอระฆัง
18050601,หนอง
18050602,ดาบ
18050603,ดงคอน
18050604,เทพรัตน์
18050605,ดอนประดู่
18050606,ทุ่งกระถิน
18050607,หนองอีดุก
18050608,หนองตาแผน
18050609,ปากดง
18050610,หนองแขม
18050611,ห้วงโก
18050612,ร่องแห้ว
18050613,ดงเทพรัตน์
18050614,ศรีมหาโภช
18010201,สี่แยกบ้านใหม่
18010202,แหลมยาง
18010203,วังน้ำโจน
18010204,วัดตาก
18010205,วังไร
18010206,ฝายน้ำล้น
18010207,วังทอง
18010301,งิ้วงาม
18010302,วงษ์ขอม
18010303,ท่าชัย
18010304,ท่าไม้
18010305,หัวยาง
18010306,หนองตาดำ
18010307,หลังดอน
18010308,ไร่เตียน
18010309,แหลมยาง
18010310,บ้านโพธิเจริญ
18010311,บ้านวัดสะพาน
18010401,เที่ยงแท้
18010402,วังไผ่02
18010403,ปากคลองแพรก
18010404,วังไผ่04
18010405,ท่ากระยาง
18010406,ดอนมะรุม
18010407,หนองตาด้วง
18010408,ดอนตาไล้
18010409,เที่ยงธรรม
18010501,หัวรอ
18010502,คลองเรือ
18010503,เขาท่าพระ
18010504,เขาขยาย
18010505,หาดกองสิน
18010506,หางกรวด
18010507,เขาดิน
18010508,ก้นอุดท่าแมงเม่า
18010601,ท้องคุ้ง
18010602,ประจำรัง
18010603,บางก้านเหลือง
18010604,เกาะ(ท่าแห)
18010605,บึงประจำรัง
18010606,ธัญญะอุดม
18010607,วงษ์พัฒนา
18010608,มะพลับดก
18010701,ธรรมามูลใต้วัด
18010702,ธรรมามูลเหนือวัด
18010703,ดักคะนน
18010704,ท่าหาด
18010705,กลำ
18010706,เชียน
18010707,ท่าลาภ
18010708,ย่าสร้อย
18010709,คุ้มเกล้า
18010710,ดักคะนนพัฒนา
18010801,หนองเต่าดำ
18010802,สาริกา
18010803,ดอนรังนก
18010804,โรงวัว04
18010805,เสือโฮก
18010806,เนินถ่าน
18010807,หนองพังนาค07
18010808,โรงวัว08
